order_number,customer_name,address,city,country,contact_fullname,dealsize
10390,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson Valarie,Medium
10409,Handji Gifts& Co,Village Close - 106 Linden Road Sandown,Singapore,Singapore,Victorino Wendy,Small
10420,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,Huxley Adrian,Medium
10103,Baane Mini Imports,Erling Skakkes gate 78,Stavern,Norway,Bergulfsen Jonas,Small
10114,"La Corne D'abondance, Co.","265, boulevard Charonne",Paris,France,Bertrand Marie,Medium
10126,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",Madrid,Spain,Sommer MartÂ¡n,Small
10140,Technics Stores Inc.,9408 Furth Circle,Burlingame,USA,Hirano Juri,Small
10151,"Oulu Toy Supplies, Inc.",Torikatu 38,Oulu,Finland,Koskitalo Pirkko,Small
10165,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,Natividad Eric,Small
10175,"Stylish Desk Decors, Co.",35 King George,London,UK,Brown Ann,Small
10184,"Iberia Gift Imports, Corp.","C/ Romero, 33",Sevilla,Spain,Roel Jose Pedro,Small
10194,"Saveley & Henriot, Co.","2, rue du Commerce",Lyon,France,Saveley Mary,Medium
10207,Diecast Collectables,6251 Ingle Ln.,Boston,USA,Franco Valarie,Small
10217,Handji Gifts& Co,Village Close - 106 Linden Road Sandown,Singapore,Singapore,Victorino Wendy,Small
10229,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson Valarie,Small
10246,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre Diego,Small
10259,Handji Gifts& Co,Village Close - 106 Linden Road Sandown,Singapore,Singapore,Victorino Wendy,Small
10271,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson Valarie,Small
10281,Diecast Classics Inc.,7586 Pompton St.,Allentown,USA,Yu Kyung,Small
10291,Scandinavian Gift Ideas,?kergatan 24,Boras,Sweden,Larsson Maria,Small
10305,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,USA,Hernandez Marta,Small
10313,Canadian Gift Exchange Network,1900 Oak St.,Vancouver,Canada,Tannamuri Yoshi,Small
10322,Online Diecast Creations Co.,2304 Long Airport Avenue,Nashua,USA,Young Valarie,Small
10334,"Volvo Model Replicas, Co",BerguvsvÂ„gen  8,Lule,Sweden,Berglund Christina,Small
10347,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson Peter,Medium
10357,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson Valarie,Small
10370,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,Australia,O'Hara Anna,Small
10391,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,Australia,O'Hara Anna,Small
10412,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre Diego,Small
10425,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France,Labrune Janine,Small
10106,Rovelli Gifts,Via Ludovico il Moro 22,Bergamo,Italy,Rovelli Giovanni,Medium
10120,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson Peter,Small
10133,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre Diego,Medium
10145,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,USA,Young Julie,Small
10168,Technics Stores Inc.,9408 Furth Circle,Burlingame,USA,Hirano Juri,Small
10210,Osaka Souveniers Co.,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Japan,Kentary Mory,Medium
10223,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson Peter,Medium
10235,"Royal Canadian Collectables, Ltd.",23 Tsawassen Blvd.,Tsawassen,Canada,Lincoln Elizabeth,Small
10250,The Sharp Gifts Warehouse,3086 Ingle Ln.,San Jose,USA,Frick Sue,Small
10263,Gift Depot Inc.,25593 South Bay Ln.,Bridgewater,USA,King Julie,Small
10275,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France,Labrune Janine,Medium
10284,"Norway Gifts By Mail, Co.","Drammensveien 126 A, PB 744 Sentrum",Oslo,Norway,Klaeboe Jan,Small
10297,"Clover Collections, Co.",25 Maiden Lane,Dublin,Ireland,Cassidy Dean,Small
10308,Mini Classics,3758 North Pendale Street,White Plains,USA,Frick Steve,Small
10318,Diecast Classics Inc.,7586 Pompton St.,Allentown,USA,Yu Kyung,Medium
10327,Danish Wholesale Imports,Vinb'ltet 34,Kobenhavn,Denmark,Petersen Jytte,Medium
10339,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Japan,Shimamura Akiko,Small
10353,Gift Ideas Corp.,2440 Pompton St.,Glendale,USA,Lewis Dan,Medium
10374,"Australian Gift Network, Co",31 Duncan St. West End,South Brisbane,Australia,Calaghan Tony,Small
10386,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre Diego,Small
10398,Reims Collectables,59 rue de l'Abbaye,Reims,France,Henriot Paul,Small
10401,Tekni Collectables Inc.,7476 Moss Rd.,Newark,USA,Brown William,Medium
10416,L'ordine Souveniers,Strada Provinciale 124,Reggio Emilia,Italy,Moroni Maurizio,Small
10107,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,Yu Kwai,Small
10120,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson Peter,Small
10134,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,France,Da Cunha Daniel,Small
10145,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,USA,Young Julie,Small
10168,Technics Stores Inc.,9408 Furth Circle,Burlingame,USA,Hirano Juri,Small
10180,Daedalus Designs Imports,"184, chausse de Tournai",Lille,France,Rance Martine,Small
10188,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,Norway,Oeztan Veysel,Small
10210,Osaka Souveniers Co.,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Japan,Kentary Mory,Small
10223,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson Peter,Small
10236,Motor Mint Distributors Inc.,11328 Douglas Av.,Philadelphia,USA,Hernandez Rosa,Small
10251,Tekni Collectables Inc.,7476 Moss Rd.,Newark,USA,Brown William,Small
10263,Gift Depot Inc.,25593 South Bay Ln.,Bridgewater,USA,King Julie,Small
10275,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France,Labrune Janine,Small
10285,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,USA,Hernandez Marta,Small
10298,Atelier graphique,"54, rue Royale",Nantes,France,Schmitt Carine,Small
10308,Mini Classics,3758 North Pendale Street,White Plains,USA,Frick Steve,Small
10318,Diecast Classics Inc.,7586 Pompton St.,Allentown,USA,Yu Kyung,Small
10329,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,Yu Kwai,Medium
10339,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Japan,Shimamura Akiko,Small
10362,Technics Stores Inc.,9408 Furth Circle,Burlingame,USA,Hirano Juri,Small
10374,"Australian Gift Network, Co",31 Duncan St. West End,South Brisbane,Australia,Calaghan Tony,Small
10389,Scandinavian Gift Ideas,?kergatan 24,Boras,Sweden,Larsson Maria,Medium
10402,Auto Canal Petit,"25, rue Lauriston",Paris,France,Perrier Dominique,Medium
10417,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre Diego,Small
10101,"Blauer See Auto, Co.",Lyonerstr. 34,Frankfurt,Germany,Keitel Roland,Medium
10110,"AV Stores, Co.",Fauntleroy Circus,Manchester,UK,Ashworth Victoria,Medium
10125,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson Peter,Medium
10139,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,Huxley Adrian,Large
10149,Signal Collectibles Ltd.,2793 Furth Circle,Brisbane,USA,Taylor Sue,Medium
10173,Rovelli Gifts,Via Ludovico il Moro 22,Bergamo,Italy,Rovelli Giovanni,Medium
10182,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson Valarie,Medium
10193,"Australian Collectables, Ltd",7 Allen Street,Glen Waverly,Australia,Connery Sean,Medium
10205,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre Diego,Large
10214,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",Madrid,Spain,Sommer MartÂ¡n,Large
10227,"Saveley & Henriot, Co.","2, rue du Commerce",Lyon,France,Saveley Mary,Medium
10244,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre Diego,Medium
10255,Mini Caravy,"24, place Kluber",Strasbourg,France,Citeaux Frederique,Medium
10280,Amica Models & Co.,Via Monte Bianco 34,Torino,Italy,Accorti Paolo,Medium
10289,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,Norway,Oeztan Veysel,Large
10304,Auto Assoc. & Cie.,"67, avenue de l'Europe",Versailles,France,Tonini Daniel,Medium
10312,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson Valarie,Medium
10322,Online Diecast Creations Co.,2304 Long Airport Avenue,Nashua,USA,Young Valarie,Medium
10332,"AV Stores, Co.",Fauntleroy Circus,Manchester,UK,Ashworth Victoria,Small
10347,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson Peter,Medium
10356,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,France,Da Cunha Daniel,Medium
10367,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,USA,Young Julie,Medium
10380,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre Diego,Small
10390,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson Valarie,Small
10421,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson Valarie,Medium
10109,Motor Mint Distributors Inc.,11328 Douglas Av.,Philadelphia,USA,Hernandez Rosa,Medium
10123,Atelier graphique,"54, rue Royale",Nantes,France,Schmitt Carine,Medium
10137,Reims Collectables,59 rue de l'Abbaye,Reims,France,Henriot Paul,Medium
10148,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,Australia,O'Hara Anna,Medium
10161,Heintze Collectables,Smagsloget 45,Aaarhus,Denmark,Ibsen Palle,Medium
10172,Gift Depot Inc.,25593 South Bay Ln.,Bridgewater,USA,King Julie,Medium
10181,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,Norway,Oeztan Veysel,Medium
10192,Online Diecast Creations Co.,2304 Long Airport Avenue,Nashua,USA,Young Valarie,Medium
10204,Muscle Machine Inc,4092 Furth Circle,NYC,USA,Young Jeff,Medium
10212,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre Diego,Medium
10226,Collectable Mini Designs Co.,361 Furth Circle,San Diego,USA,Thompson Valarie,Medium
10241,Mini Caravy,"24, place Kluber",Strasbourg,France,Citeaux Frederique,Medium
10253,"UK Collectables, Ltd.",Berkeley Gardens 12  Brewery,Liverpool,UK,Devon Elizabeth,Medium
10266,L'ordine Souveniers,Strada Provinciale 124,Reggio Emilia,Italy,Moroni Maurizio,Small
10278,Signal Gift Stores,8489 Strong St.,Las Vegas,USA,King Sue,Medium
10287,"Vida Sport, Ltd",Grenzacherweg 237,Gensve,Switzerland,Holz Michael,Medium
10301,"Norway Gifts By Mail, Co.","Drammensveien 126 A, PB 744 Sentrum",Oslo,Norway,Klaeboe Jan,Medium
10311,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre Diego,Medium
10321,FunGiftIdeas.com,1785 First Street,New Bedford,USA,Benitez Violeta,Small
10331,Motor Mint Distributors Inc.,11328 Douglas Av.,Philadelphia,USA,Hernandez Rosa,Small
10343,Reims Collectables,59 rue de l'Abbaye,Reims,France,Henriot Paul,Small
10366,Royale Belge,"Boulevard Tirou, 255",Charleroi,Belgium,Cartrain Pascale,Medium
10379,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre Diego,Medium
10407,The Sharp Gifts Warehouse,3086 Ingle Ln.,San Jose,USA,Frick Sue,Medium
10419,Salzburg Collectables,Geislweg 14,Salzburg,Austria,Pipps Georg,Large
10103,Baane Mini Imports,Erling Skakkes gate 78,Stavern,Norway,Bergulfsen Jonas,Small
10112,"Volvo Model Replicas, Co",BerguvsvÂ„gen  8,Lule,Sweden,Berglund Christina,Small
10126,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",Madrid,Spain,Sommer MartÂ¡n,Small
10139,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,Huxley Adrian,Medium
10150,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,Natividad Eric,Medium
10163,Classic Legends Inc.,5905 Pompton St.,NYC,USA,Hernandez Maria,Medium
10174,"Australian Gift Network, Co",31 Duncan St. West End,South Brisbane,Australia,Calaghan Tony,Medium
10183,"Classic Gift Ideas, Inc",782 First Street,Philadelphia,USA,Cervantes Francisca,Medium
10193,"Australian Collectables, Ltd",7 Allen Street,Glen Waverly,Australia,Connery Sean,Small
10206,Canadian Gift Exchange Network,1900 Oak St.,Vancouver,Canada,Tannamuri Yoshi,Medium
10215,West Coast Collectables Co.,3675 Furth Circle,Burbank,USA,Thompson Steve,Medium
10228,Cambridge Collectables Co.,4658 Baden Av.,Cambridge,USA,Tseng Kyung,Small
10244,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre Diego,Medium
10257,The Sharp Gifts Warehouse,3086 Ingle Ln.,San Jose,USA,Frick Sue,Medium
10270,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,Huxley Adrian,Small
10280,Amica Models & Co.,Via Monte Bianco 34,Torino,Italy,Accorti Paolo,Medium
10291,Scandinavian Gift Ideas,?kergatan 24,Boras,Sweden,Larsson Maria,Medium
10304,Auto Assoc. & Cie.,"67, avenue de l'Europe",Versailles,France,Tonini Daniel,Medium
10312,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson Valarie,Medium
10322,Online Diecast Creations Co.,2304 Long Airport Avenue,Nashua,USA,Young Valarie,Medium
10347,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson Peter,Medium
10357,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson Valarie,Medium
10369,Collectables For Less Inc.,7825 Douglas Av.,Brickhaven,USA,Nelson Allen,Medium
10391,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,Australia,O'Hara Anna,Small
10423,Petit Auto,Rue Joseph-Bens 532,Bruxelles,Belgium,Dewey Catherine,Small
10103,Baane Mini Imports,Erling Skakkes gate 78,Stavern,Norway,Bergulfsen Jonas,Small
10126,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",Madrid,Spain,Sommer MartÂ¡n,Medium
10139,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,Huxley Adrian,Small
10150,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,Natividad Eric,Small
10163,Classic Legends Inc.,5905 Pompton St.,NYC,USA,Hernandez Maria,Medium
10173,Rovelli Gifts,Via Ludovico il Moro 22,Bergamo,Italy,Rovelli Giovanni,Small
10183,"Classic Gift Ideas, Inc",782 First Street,Philadelphia,USA,Cervantes Francisca,Small
10193,"Australian Collectables, Ltd",7 Allen Street,Glen Waverly,Australia,Connery Sean,Small
10206,Canadian Gift Exchange Network,1900 Oak St.,Vancouver,Canada,Tannamuri Yoshi,Small
10215,West Coast Collectables Co.,3675 Furth Circle,Burbank,USA,Thompson Steve,Small
10228,Cambridge Collectables Co.,4658 Baden Av.,Cambridge,USA,Tseng Kyung,Small
10244,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre Diego,Small
10257,The Sharp Gifts Warehouse,3086 Ingle Ln.,San Jose,USA,Frick Sue,Small
10269,Salzburg Collectables,Geislweg 14,Salzburg,Austria,Pipps Georg,Small
10280,Amica Models & Co.,Via Monte Bianco 34,Torino,Italy,Accorti Paolo,Small
10291,Scandinavian Gift Ideas,?kergatan 24,Boras,Sweden,Larsson Maria,Small
10304,Auto Assoc. & Cie.,"67, avenue de l'Europe",Versailles,France,Tonini Daniel,Small
10312,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson Valarie,Small
10322,Online Diecast Creations Co.,2304 Long Airport Avenue,Nashua,USA,Young Valarie,Small
10332,"AV Stores, Co.",Fauntleroy Circus,Manchester,UK,Ashworth Victoria,Small
10347,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson Peter,Small
10357,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson Valarie,Medium
10369,Collectables For Less Inc.,7825 Douglas Av.,Brickhaven,USA,Nelson Allen,Small
10392,Mini Auto Werke,Kirchgasse 6,Graz,Austria,Mendel Roland,Small
10423,Petit Auto,Rue Joseph-Bens 532,Bruxelles,Belgium,Dewey Catherine,Small
10106,Rovelli Gifts,Via Ludovico il Moro 22,Bergamo,Italy,Rovelli Giovanni,Medium
10119,Salzburg Collectables,Geislweg 14,Salzburg,Austria,Pipps Georg,Small
10130,Auto-Moto Classics Inc.,16780 Pompton St.,Brickhaven,USA,Taylor Leslie,Medium
10143,Mini Creations Ltd.,4575 Hillside Dr.,New Bedford,USA,Tam Wing C,Medium
10155,"Toys of Finland, Co.",Keskuskatu 45,Helsinki,Finland,Karttunen Matti,Medium
10167,Scandinavian Gift Ideas,?kergatan 24,Boras,Sweden,Larsson Maria,Medium
10178,Alpha Cognac,1 rue Alsace-Lorraine,Toulouse,France,Roulet Annette,Medium
10186,"Double Decker Gift Stores, Ltd",120 Hanover Sq.,London,UK,Hardy Thomas,Small
10197,Enaco Distributors,"Rambla de CataluÂ¤a, 23",Barcelona,Spain,Saavedra Eduardo,Medium
10222,Collectable Mini Designs Co.,361 Furth Circle,San Diego,USA,Thompson Valarie,Medium
10248,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,Yu Kwai,Small
10262,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre Diego,Small
10273,Petit Auto,Rue Joseph-Bens 532,Bruxelles,Belgium,Dewey Catherine,Medium
10283,"Royal Canadian Collectables, Ltd.",23 Tsawassen Blvd.,Tsawassen,Canada,Lincoln Elizabeth,Small
10296,"Bavarian Collectables Imports, Co.",Hansastr. 15,Munich,Germany,Donnermeyer Michael,Small
10307,"Classic Gift Ideas, Inc",782 First Street,Philadelphia,USA,Cervantes Francisca,Small
10316,giftsbymail.co.uk,Garden House Crowther Way,Cowes,UK,Bennett Helen,Small
10327,Danish Wholesale Imports,Vinb'ltet 34,Kobenhavn,Denmark,Petersen Jytte,Small
10338,Royale Belge,"Boulevard Tirou, 255",Charleroi,Belgium,Cartrain Pascale,Small
10350,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre Diego,Small
10373,"Oulu Toy Supplies, Inc.",Torikatu 38,Oulu,Finland,Koskitalo Pirkko,Small
10386,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre Diego,Medium
10398,Reims Collectables,59 rue de l'Abbaye,Reims,France,Henriot Paul,Small
10400,The Sharp Gifts Warehouse,3086 Ingle Ln.,San Jose,USA,Frick Sue,Small
10414,Gifts4AllAges.com,8616 Spinnaker Dr.,Boston,USA,Yoshido Juri,Medium
10103,Baane Mini Imports,Erling Skakkes gate 78,Stavern,Norway,Bergulfsen Jonas,Small
10126,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",Madrid,Spain,Sommer MartÂ¡n,Small
10139,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,Huxley Adrian,Small
10150,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,Natividad Eric,Small
10163,Classic Legends Inc.,5905 Pompton St.,NYC,USA,Hernandez Maria,Medium
10173,Rovelli Gifts,Via Ludovico il Moro 22,Bergamo,Italy,Rovelli Giovanni,Small
10183,"Classic Gift Ideas, Inc",782 First Street,Philadelphia,USA,Cervantes Francisca,Small
10193,"Australian Collectables, Ltd",7 Allen Street,Glen Waverly,Australia,Connery Sean,Small
10206,Canadian Gift Exchange Network,1900 Oak St.,Vancouver,Canada,Tannamuri Yoshi,Medium
10215,West Coast Collectables Co.,3675 Furth Circle,Burbank,USA,Thompson Steve,Medium
10228,Cambridge Collectables Co.,4658 Baden Av.,Cambridge,USA,Tseng Kyung,Medium
10244,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre Diego,Medium
10257,The Sharp Gifts Warehouse,3086 Ingle Ln.,San Jose,USA,Frick Sue,Medium
10270,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,Huxley Adrian,Medium
10280,Amica Models & Co.,Via Monte Bianco 34,Torino,Italy,Accorti Paolo,Medium
10291,Scandinavian Gift Ideas,?kergatan 24,Boras,Sweden,Larsson Maria,Small
10304,Auto Assoc. & Cie.,"67, avenue de l'Europe",Versailles,France,Tonini Daniel,Small
10312,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson Valarie,Medium
10322,Online Diecast Creations Co.,2304 Long Airport Avenue,Nashua,USA,Young Valarie,Small
10332,"AV Stores, Co.",Fauntleroy Circus,Manchester,UK,Ashworth Victoria,Small
10347,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson Peter,Medium
10357,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson Valarie,Medium
10369,Collectables For Less Inc.,7825 Douglas Av.,Brickhaven,USA,Nelson Allen,Small
10392,Mini Auto Werke,Kirchgasse 6,Graz,Austria,Mendel Roland,Small
10423,Petit Auto,Rue Joseph-Bens 532,Bruxelles,Belgium,Dewey Catherine,Small
10105,Danish Wholesale Imports,Vinb'ltet 34,Kobenhavn,Denmark,Petersen Jytte,Medium
10117,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,Natividad Eric,Medium
10128,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre Diego,Medium
10142,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson Valarie,Medium
10153,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre Diego,Medium
10166,FunGiftIdeas.com,1785 First Street,New Bedford,USA,Benitez Violeta,Medium
10177,CAF Imports,"Merchants House, 27-30 Merchant's Quay",Madrid,Spain,Fernandez Jesus,Medium
10185,Mini Creations Ltd.,4575 Hillside Dr.,New Bedford,USA,Tam Wing C,Medium
10196,Super Scale Inc.,567 North Pendale Street,New Haven,USA,Murphy Leslie,Medium
10208,"Saveley & Henriot, Co.","2, rue du Commerce",Lyon,France,Saveley Mary,Small
10221,Petit Auto,Rue Joseph-Bens 532,Bruxelles,Belgium,Dewey Catherine,Medium
10232,giftsbymail.co.uk,Garden House Crowther Way,Cowes,UK,Bennett Helen,Medium
10248,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,Yu Kwai,Medium
10273,Petit Auto,Rue Joseph-Bens 532,Bruxelles,Belgium,Dewey Catherine,Medium
10282,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson Valarie,Medium
10293,Amica Models & Co.,Via Monte Bianco 34,Torino,Italy,Accorti Paolo,Small
10306,"AV Stores, Co.",Fauntleroy Circus,Manchester,UK,Ashworth Victoria,Medium
10314,Heintze Collectables,Smagsloget 45,Aaarhus,Denmark,Ibsen Palle,Small
10325,Baane Mini Imports,Erling Skakkes gate 78,Stavern,Norway,Bergulfsen Jonas,Small
10336,"La Corne D'abondance, Co.","265, boulevard Charonne",Paris,France,Bertrand Marie,Medium
10350,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre Diego,Medium
10372,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Japan,Shimamura Akiko,Medium
10383,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre Diego,Small
10396,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson Valarie,Medium
10414,Gifts4AllAges.com,8616 Spinnaker Dr.,Boston,USA,Yoshido Juri,Medium
10104,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre Diego,Medium
10109,Motor Mint Distributors Inc.,11328 Douglas Av.,Philadelphia,USA,Hernandez Rosa,Large
10114,"La Corne D'abondance, Co.","265, boulevard Charonne",Paris,France,Bertrand Marie,Large
10122,Marseille Mini Autos,"12, rue des Bouchers",Marseille,France,Lebihan Laurence,Medium
10127,Muscle Machine Inc,4092 Furth Circle,NYC,USA,Young Jeff,Medium
10136,Alpha Cognac,1 rue Alsace-Lorraine,Toulouse,France,Roulet Annette,Large
10141,Suominen Souveniers,"Software Engineering Center, SEC Oy",Espoo,Finland,Suominen Kalle,Medium
10148,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,Australia,O'Hara Anna,Medium
10151,"Oulu Toy Supplies, Inc.",Torikatu 38,Oulu,Finland,Koskitalo Pirkko,Medium
10165,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,Natividad Eric,Large
10171,Quebec Home Shopping Network,43 rue St. Laurent,Montreal,Canada,Fresnisre Jean,Medium
10175,"Stylish Desk Decors, Co.",35 King George,London,UK,Brown Ann,Medium
10181,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,Norway,Oeztan Veysel,Medium
10184,"Iberia Gift Imports, Corp.","C/ Romero, 33",Sevilla,Spain,Roel Jose Pedro,Medium
10192,Online Diecast Creations Co.,2304 Long Airport Avenue,Nashua,USA,Young Valarie,Medium
10195,Mini Classics,3758 North Pendale Street,White Plains,USA,Frick Steve,Large
10203,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre Diego,Large
10207,Diecast Collectables,6251 Ingle Ln.,Boston,USA,Franco Valarie,Medium
10212,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre Diego,Medium
10225,"Vida Sport, Ltd",Grenzacherweg 237,Gensve,Switzerland,Holz Michael,Medium
10229,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson Valarie,Medium
10239,"Oulu Toy Supplies, Inc.",Torikatu 38,Oulu,Finland,Koskitalo Pirkko,Large
10246,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre Diego,Large
10253,"UK Collectables, Ltd.",Berkeley Gardens 12  Brewery,Liverpool,UK,Devon Elizabeth,Medium
10259,Handji Gifts& Co,Village Close - 106 Linden Road Sandown,Singapore,Singapore,Victorino Wendy,Medium
10266,L'ordine Souveniers,Strada Provinciale 124,Reggio Emilia,Italy,Moroni Maurizio,Medium
10271,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson Valarie,Medium
10278,Signal Gift Stores,8489 Strong St.,Las Vegas,USA,King Sue,Medium
10281,Diecast Classics Inc.,7586 Pompton St.,Allentown,USA,Yu Kyung,Medium
10287,"Vida Sport, Ltd",Grenzacherweg 237,Gensve,Switzerland,Holz Michael,Medium
10292,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,Yu Kwai,Small
